Country Name,Country Code,1990_wom,2000_wom,2013_wom,2014_wom,2015_wom,2016_wom,2017_wom,2018_wom,2019_wom,2020_wom,2021_wom,2022_wom,1990_life,2000_life,2013_life,2014_life,2015_life,2016_life,2017_life,2018_life,2019_life,2020_life,2021_life,1990_gdp,2000_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp
Afghanistan,AFG,..,..,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,..,27.8688524590164,27.0161290322581,27.0161290322581,..,45.967,55.298,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,..,..,5.60074465808174,2.72454336394887,1.45131466009762,2.26031420130457,2.6470032019574,1.18922812838036,3.91160341942292,-2.3511006734461,-20.7388393676343,..
Albania,ALB,..,5.16129032258065,17.8571428571429,20,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115,29.5081967213115,35.7142857142857,35.7142857142857,73.144,75.404,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,-9.57564016993415,6.94621659244254,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306
Algeria,DZA,..,3.42105263157895,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758,8.10810810810811,8.10810810810811,67.416,70.478,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,0.800000580172068,3.80000000161118,2.8,3.79999999836768,3.70000000138755,3.20000000173945,1.29999999827666,1.20000000102394,0.999999998155587,-5.09999999763123,3.39999999973611,3.20000164670707
Angola,AGO,..,15.4545454545455,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30,30,29.5454545454545,33.6363636363636,41.893,46.024,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,-3.45009868500253,3.05462423430785,4.95461303112738,4.82255926962156,0.943571561325001,-2.5801112218828,-0.147149825449205,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04540300954928
Antigua and Barbuda,ATG,..,5.26315789473684,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,73.492,74.606,77.583,77.858,77.913,78.152,78.268,78.511,78.691,78.841,78.497,3.0117146835789,6.20343125361171,0.485932080790846,2.21145251322996,1.44515529873077,4.09976553877765,2.46333336590416,6.95318609219737,3.10044514982847,-18.8803992026325,8.1917184618173,9.51639564359461
Argentina,ARG,..,26.4591439688716,36.5758754863813,36.5758754863813,..,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,40.8560311284047,44.7470817120623,44.7470817120623,71.784,73.926,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,-2.46721377810472,-0.78899893905691,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.7180099337095,4.95636996008236
Armenia,ARM,..,3.05343511450382,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485,23.4848484848485,33.6448598130841,35.5140186915888,68.821,70.624,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,..,5.90000000312092,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000000001,12.6
Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,73.076,73.569,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,3.96140172676478,7.62292063918883,6.43148182354385,-1.58657464362111,-0.623625632862655,1.7196241156332,7.04853325902029,2.38173012558298,-2.30283684401374,-23.982580345495,27.6393569688502,10.45831735343
Australia,AUS,..,22.972972972973,26,26,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404,30.4635761589404,31.1258278145695,38.4105960264901,76.9946341463415,79.2341463414634,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,3.57912304997303,3.92151782931303,2.60619844706027,2.60740103188527,2.20181015336807,2.77914262537222,2.31870938698817,2.90636311509867,2.1811091061096,-0.33468635945016,2.11183088925151,4.26894639349867
Austria,AUT,..,26.775956284153,33.3333333333333,32.2404371584699,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082,39.344262295082,40.4371584699454,40.9836065573771,75.5682926829269,78.1268292682927,81.1365853658537,81.490243902439,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.2390243902439,4.34564139947821,3.37572214708479,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.25857243250671,2.42538536088061,1.45052918393192,-6.63299143662553,4.23786673253257,4.80643020178459
